name,address,district,phone,category,cuisine_type,price_range,halal_certified,description,website,features
"Warong Nasi Pariaman","738 North Bridge Rd, Singapore 198706","Kampong Glam","6297 2374","restaurants","indonesian","budget","yes","Authentic Indonesian Padang cuisine with rich flavors","","halal-certified,takeaway,family-friendly"
"The Malayan Council","136 Neil Rd, Singapore 088865","Chinatown","6221 6069","restaurants","malay","mid-range","yes","Traditional Malay cuisine in heritage shophouse setting","","halal-certified,heritage-building,air-conditioning"
"Cafe Le Caire","39 Arab St, Singapore 199738","Kampong Glam","6292 0979","cafes","middle-eastern","mid-range","yes","Authentic Middle Eastern cafe with shisha and traditional dishes","","halal-certified,shisha,outdoor-seating"
"Zam Zam Restaurant","697 North Bridge Rd, Singapore 198675","Kampong Glam","6298 6320","restaurants","indian","budget","yes","Famous for murtabak and briyani since 1908","","halal-certified,heritage,24-hours"
"Hjh Maimunah Restaurant","11 Jln Pisang, Singapore 199078","Kampong Glam","6297 4294","restaurants","malay","budget","yes","Home-style Malay cooking with variety of dishes","","halal-certified,local-favorite,buffet-style"
"Istanbul Grill","120 Sophia Rd, Singapore 228149","Little India","6337 6967","restaurants","turkish","mid-range","yes","Turkish cuisine with grilled specialties and kebabs","","halal-certified,grilled-food,delivery-available"
"Alaturka","15 Bussorah St, Singapore 199437","Kampong Glam","6298 8348","restaurants","turkish","mid-range","yes","Authentic Turkish restaurant with traditional atmosphere","","halal-certified,traditional-decor,air-conditioning"
"Mamanda","8 Raffles Ave, Singapore 039802","Marina Bay","6336 8038","restaurants","malay","premium","yes","Contemporary Malay cuisine with modern presentation","https://mamanda.sg","halal-certified,premium-dining,modern-cuisine"
"Sari Ratu Restaurant","12 Kandahar St, Singapore 198885","Kampong Glam","6298 3082","restaurants","indonesian","budget","yes","Indonesian restaurant known for authentic Javanese dishes","","halal-certified,spicy-food,vegetarian-options"
"The Coconut Club","1 Club St, Singapore 069403","Chinatown","6635 2999","restaurants","malaysian","mid-range","yes","Famous for nasi lemak and Malaysian street food","https://thecoconutclub.sg","halal-certified,nasi-lemak,coconut-rice"
"Rumah Makan Minang","18 Kandahar St, Singapore 198888","Kampong Glam","6294 0212","restaurants","indonesian","budget","yes","Traditional Minang cuisine from West Sumatra","","halal-certified,spicy-food,rice-dishes"
"Beirut Grill","72 Boat Quay, Singapore 049857","Clarke Quay","6538 1661","restaurants","middle-eastern","mid-range","yes","Lebanese and Middle Eastern grilled specialties","","halal-certified,grilled-food,waterfront-dining"
"Al-Azhar Eating Restaurant","11 Bridge Rd, Singapore 058796","Clarke Quay","6536 9692","restaurants","indian","budget","yes","24-hour Indian Muslim restaurant with briyani and curry","","halal-certified,24-hours,indian-muslim"
"Kampong Glam Cafe","17 Bussorah St, Singapore 199438","Kampong Glam","6291 9734","cafes","fusion","mid-range","yes","Fusion cafe with local and Western dishes","","halal-certified,fusion-cuisine,wifi"
"Tepak Sirih","73 Sultan Gate, Singapore 198497","Kampong Glam","6396 4373","restaurants","malay","mid-range","yes","Traditional Malay restaurant in heritage building","","halal-certified,heritage-building,traditional-decor"
